Spanish,Enhanced_Notes
Me comí una bandeja paisa,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me comí una bandeja paisa = I ate a bandeja paisa (Colombian dish)
Example 2: Claro, me comí una bandeja paisa. = Sure, i ate a bandeja paisa (colombian dish).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Querés un buñuelo?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Querés un buñuelo? = Do you want a buñuelo? (Colombian fried dough)
Example 2: ¿Querés un buñuelo? Es importante saberlo. = Do you want a buñuelo? (Colombian fried dough) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Tomemos aguapanela,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tomemos aguapanela = Let's drink aguapanela (Colombian drink)
Example 2: Claro, tomemos aguapanela. = Sure, let's drink aguapanela (colombian drink).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Pedimos empanadas?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Pedimos empanadas? = Should we order empanadas?
Example 2: ¿Pedimos empanadas? Es importante saberlo. = Should we order empanadas? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
El sancocho está delicioso,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: El sancocho está delicioso = The sancocho is delicious (Colombian soup)
Example 2: Claro, el sancocho está delicioso. = Sure, the sancocho is delicious (colombian soup).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Te gusta el ajiaco?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Te gusta el ajiaco? = Do you like ajiaco? (Colombian soup)
Example 2: ¿Te gusta el ajiaco? Es importante saberlo. = Do you like ajiaco? (Colombian soup) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me antoja un patacón,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me antoja un patacón = I'm craving a patacón (fried plantain)
Example 2: Claro, me antoja un patacón. = Sure, i'm craving a patacón (fried plantain).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Vamos por unos chuzos?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vamos por unos chuzos? = Shall we get some chuzos? (Colombian skewers)
Example 2: ¿Vamos por unos chuzos? Es importante saberlo. = Shall we get some chuzos? (Colombian skewers) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Compremos pandebono,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Compremos pandebono = Let's buy pandebono (Colombian cheese bread)
Example 2: Claro, compremos pandebono. = Sure, let's buy pandebono (colombian cheese bread).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
El calentado está rico,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: El calentado está rico = The calentado is good (Colombian leftover dish)
Example 2: Claro, el calentado está rico. = Sure, the calentado is good (colombian leftover dish).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Querés mazamorra?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Querés mazamorra? = Do you want mazamorra? (Colombian corn drink)
Example 2: ¿Querés mazamorra? Es importante saberlo. = Do you want mazamorra? (Colombian corn drink) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Traeme una aguadepanela caliente,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Traeme una aguadepanela caliente = Bring me a hot aguadepanela
Example 2: Claro, traeme una aguadepanela caliente. = Sure, bring me a hot aguadepanela.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Pedimos lechona?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Pedimos lechona? = Should we order lechona? (Colombian stuffed pork)
Example 2: ¿Pedimos lechona? Es importante saberlo. = Should we order lechona? (Colombian stuffed pork) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me encantan las almojábanas,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me encantan las almojábanas = I love almojábanas (Colombian cheese bread)
Example 2: Claro, me encantan las almojábanas. = Sure, i love almojábanas (colombian cheese bread).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Hay tamales?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Hay tamales? = Are there tamales?
Example 2: ¿Hay tamales? Es importante saberlo. = Are there tamales? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
El changua es raro pero rico,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: El changua es raro pero rico = Changua is weird but tasty (Colombian milk soup)
Example 2: Claro, el changua es raro pero rico. = Sure, changua is weird but tasty (colombian milk soup).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me gustás,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me gustás = I like you (romantic)
Example 2: Claro, me gustás. = Sure, i like you (romantic).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Salimos algún día?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Salimos algún día? = Should we go out sometime?
Example 2: ¿Salimos algún día? Es importante saberlo. = Should we go out sometime? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Sos linda/lindo,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Sos linda/lindo = You're pretty/handsome (vos form)
Example 2: Claro, sos linda/lindo. = Sure, you're pretty/handsome (vos form).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me parece que sos chistoso/a,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me parece que sos chistoso/a = I think you're funny (vos form)
Example 2: Claro, me parece que sos chistoso/a. = Sure, i think you're funny (vos form).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Tenés novio/novia?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Tenés novio/novia? = Do you have a boyfriend/girlfriend?
Example 2: ¿Tenés novio/novia? Es importante saberlo. = Do you have a boyfriend/girlfriend? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Estoy soltero/a,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy soltero/a = I'm single
Example 2: Claro, estoy soltero/a. = Sure, i'm single.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Te gustaría salir?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Te gustaría salir? = Would you like to go out?
Example 2: ¿Te gustaría salir? Es importante saberlo. = Would you like to go out? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me caés muy bien,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me caés muy bien = I really like you (as a person)
Example 2: Todo me caés muy bien. = Everything i really like you (as a person).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Sos muy simpático/a,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Sos muy simpático/a = You're very nice (vos form)
Example 2: Claro, sos muy simpático/a. = Sure, you're very nice (vos form).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Puedo invitarte a algo?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Puedo invitarte a algo? = Can I buy you something?
Example 2: ¿Puedo invitarte a algo? Es importante saberlo. = Can I buy you something? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me encanta hablar con vos,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me encanta hablar con vos = I love talking with you (vos form)
Example 2: Claro, me encanta hablar con vos. = Sure, i love talking with you (vos form).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Me pasás tu número?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me pasás tu número? = Can you give me your number? (vos form)
Example 2: ¿Me pasás tu número? Es importante saberlo. = Can you give me your number? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Estás muy bonita hoy,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estás muy bonita hoy = You look very pretty today
Example 2: Claro, estás muy bonita hoy. = Sure, you look very pretty today.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Vos tenés WhatsApp?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Vos tenés WhatsApp? = Do you have WhatsApp? (vos form)
Example 2: ¿Vos tenés WhatsApp? Es importante saberlo. = Do you have WhatsApp? (vos form) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me gusta tu estilo,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me gusta tu estilo = I like your style
Example 2: Claro, me gusta tu estilo. = Sure, i like your style.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Sos muy inteligente,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Sos muy inteligente = You're very intelligent (vos form)
Example 2: Claro, sos muy inteligente. = Sure, you're very intelligent (vos form).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Querés tomar algo?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Querés tomar algo? = Do you want to get a drink?
Example 2: ¿Querés tomar algo? Es importante saberlo. = Do you want to get a drink? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me la paso bien con vos,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me la paso bien con vos = I have a good time with you (vos form)
Example 2: Todo me la paso bien con vos. = Everything i have a good time with you (vos form).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Cuándo nos vemos?,"Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Cuándo nos vemos? = When do we see each other?
Example 2: ¿Cuándo nos vemos? Es importante saberlo. = When do we see each other? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me hiciste reír,"Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me hiciste reír = You made me laugh
Example 2: Claro, me hiciste reír. = Sure, you made me laugh.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo gripa,"Colombian variant of 'gripe'. Used for both common cold and flu. Very common expression in everyday conversation.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo gripa = I have a cold/flu
Example 2: Claro, tengo gripa. = Sure, i have a cold/flu.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me siento maluco/maluca,"Distinctly Colombian way to say you're feeling unwell. More informal than 'enfermo/a'. Very commonly used in daily conversation.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me siento maluco/maluca = I feel sick/lousy
Example 2: Claro, me siento maluco/maluca. = Sure, i feel sick/lousy.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Estoy griposo/griposa,"Adjective form describing someone who has gripa. Same as 'agripado/a'. Informal but widely understood.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy griposo/griposa = I have the flu/cold (I'm sick with flu)
Example 2: Claro, estoy griposo/griposa. = Sure, i have the flu/cold (i'm sick with flu).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo maluquera,"Noun form of 'maluco'. Expresses general unwellness or feeling bad. Very Colombian expression.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo maluquera = I'm feeling really lousy/sick
Example 2: Claro, tengo maluquera. = Sure, i'm feeling really lousy/sick.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me duele la cabeza,"Standard expression for headache. Pattern extends to other body parts (me duele el estómago, me duele la espalda).

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me duele la cabeza = I have a headache / My head hurts
Example 2: Claro, me duele la cabeza. = Sure, i have a headache / my head hurts.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo fiebre,"Direct way to express having a fever. Essential health vocabulary.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo fiebre = I have a fever
Example 2: Claro, tengo fiebre. = Sure, i have a fever.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo dolor de garganta,"Common symptom expression. 'Garganta' is throat.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo dolor de garganta = I have a sore throat
Example 2: Claro, tengo dolor de garganta. = Sure, i have a sore throat.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Estoy enfermito/enfermita,"Diminutive form suggesting you're not too ill but want sympathy. Softens the statement.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy enfermito/enfermita = I'm a bit sick (diminutive)
Example 2: Claro, estoy enfermito/enfermita. = Sure, i'm a bit sick (diminutive).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
No me siento bien,"General way to express not feeling good without specifying symptoms. Polite and common.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: No me siento bien = I don't feel well
Example 2: Todo no me siento bien. = Everything i don't feel well.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo mareo,"Expresses dizziness or vertigo. Important symptom to communicate.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo mareo = I feel dizzy
Example 2: Claro, tengo mareo. = Sure, i feel dizzy.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo náuseas,"Expresses feeling sick to your stomach, wanting to vomit.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo náuseas = I feel nauseous
Example 2: Claro, tengo náuseas. = Sure, i feel nauseous.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me duele el estómago,"Common pain expression for stomach area. Can also say 'me duele la barriga/panza' informally.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me duele el estómago = I have a stomach ache / My stomach hurts
Example 2: Claro, me duele el estómago. = Sure, i have a stomach ache / my stomach hurts.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo diarrea,"Direct medical term. Important for communicating digestive issues.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo diarrea = I have diarrhea
Example 2: Claro, tengo diarrea. = Sure, i have diarrhea.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo churrias,"Colorful Colombian slang for diarrhea. Usually used with 'tener'. More informal than 'diarrea'.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo churrias = I have diarrhea (Colombian slang)
Example 2: Claro, tengo churrias. = Sure, i have diarrhea (colombian slang).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo estreñimiento,"Medical term for constipation. Important digestive health vocabulary.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo estreñimiento = I'm constipated
Example 2: Claro, tengo estreñimiento. = Sure, i'm constipated.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo tos,"Simple, direct expression for coughing. Common cold/flu symptom.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo tos = I have a cough
Example 2: Claro, tengo tos. = Sure, i have a cough.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo flojera,"Expresses physical weakness or lack of energy. Also used for laziness in other contexts.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo flojera = I feel weak
Example 2: Claro, tengo flojera. = Sure, i feel weak.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Estoy resfriado/resfriada,"Formal term for having a cold (resfriado). Less common in Colombia than 'gripa'.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy resfriado/resfriada = I have a cold
Example 2: Claro, estoy resfriado/resfriada. = Sure, i have a cold.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Voy a la droguería,"In Colombia, 'droguería' and 'farmacia' both mean pharmacy. 'Droguería' is more commonly used.

Cultural Context: 'Voy a' + infinitive expresses immediate future or intention, very common in Colombian daily life.

Example 1: Voy a la droguería = I'm going to the pharmacy
Example 2: Voy a la droguería, ya vuelvo. = I'm going to the pharmacy, I'll be back.
Example 3: No puedo ahora, voy a la droguería. = I can't now, i'm going to the pharmacy.

Formality: Informal to Neutral
Usage Notes: Used to announce plans or departures in Colombian households and workplaces."
Necesito pastillas,"General term for medication in pill form. 'Pastillas' is very common.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Necesito pastillas = I need pills/tablets
Example 2: Claro, necesito pastillas. = Sure, i need pills/tablets.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Necesito una receta,"Important phrase for getting prescription medications at the pharmacy.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Necesito una receta = I need a prescription
Example 2: Claro, necesito una receta. = Sure, i need a prescription.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Me da algo para el dolor?,"Common pharmacy request. 'Algo para...' pattern useful for requesting remedies.

Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me da algo para el dolor? = Can you give me something for the pain?
Example 2: ¿Me da algo para el dolor? Es importante saberlo. = Can you give me something for the pain? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Necesito un analgésico,"Specific medication request. 'Analgésico' is painkiller/pain reliever.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Necesito un analgésico = I need a painkiller
Example 2: Claro, necesito un analgésico. = Sure, i need a painkiller.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tomo jarabe para la tos,"'Jarabe' is syrup. Common medication form for coughs and colds.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tomo jarabe para la tos = I take cough syrup
Example 2: Claro, tomo jarabe para la tos. = Sure, i take cough syrup.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo cita médica,"Standard phrase for medical appointment. 'Cita médica' or 'cita con el médico'.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo cita médica = I have a doctor's appointment
Example 2: Claro, tengo cita médica. = Sure, i have a doctor's appointment.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Voy al médico,"Simple, direct way to say you're visiting the doctor.

Cultural Context: 'Voy a' + infinitive expresses immediate future or intention, very common in Colombian daily life.

Example 1: Voy al médico = I'm going to the doctor
Example 2: Voy al médico, ya vuelvo. = I'm going to the doctor, I'll be back.
Example 3: No puedo ahora, voy al médico. = I can't now, i'm going to the doctor.

Formality: Informal to Neutral
Usage Notes: Used to announce plans or departures in Colombian households and workplaces."
¿Me prestas el baño?,"Very Colombian way to ask for bathroom. 'Prestar' literally means 'to lend' but used for bathroom requests.

Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Me prestas el baño? = Can I use your bathroom? (Colombian)
Example 2: ¿Me prestas el baño? Es importante saberlo. = Can I use your bathroom? (Colombian) It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Me voy a bañar,"'Bañarse' means to bathe. Very common daily hygiene expression.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me voy a bañar = I'm going to take a shower/bath
Example 2: Claro, me voy a bañar. = Sure, i'm going to take a shower/bath.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Voy a lavarme los dientes,"Literally 'wash my teeth'. Also 'cepillarme los dientes' (brush my teeth).

Cultural Context: 'Voy a' + infinitive expresses immediate future or intention, very common in Colombian daily life.

Example 1: Voy a lavarme los dientes = I'm going to brush my teeth
Example 2: Voy a lavarme los dientes ¿Vienes conmigo? = I'm going to brush my teeth Are you coming with me?
Example 3: Ahorita no puedo, voy a lavarme los dientes. = I can't right now, i'm going to brush my teeth.

Formality: Informal to Neutral
Usage Notes: Used to announce plans or departures in Colombian households and workplaces."
Tengo chucha,"Colombian slang for body odor, especially from armpits. Informal but commonly understood.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo chucha = I have body odor (armpit odor)
Example 2: Claro, tengo chucha. = Sure, i have body odor (armpit odor).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Pedro tiene pecueca,"Colombian term for foot odor. Used with 'tener'. Informal and often humorous.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Pedro tiene pecueca = Pedro has stinky feet
Example 2: Claro, pedro tiene pecueca. = Sure, pedro has stinky feet.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me duele la barriga,"Informal term for stomach/belly. More colloquial than 'estómago'. Common with children.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me duele la barriga = My belly/tummy hurts
Example 2: Claro, me duele la barriga. = Sure, my belly/tummy hurts.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo dolor de espalda,"Common pain complaint. 'Espalda' is back.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo dolor de espalda = I have back pain
Example 2: Claro, tengo dolor de espalda. = Sure, i have back pain.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me duele el oído,"Ear pain expression. 'Oído' is ear (inner ear). Also 'oreja' for outer ear.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me duele el oído = My ear hurts
Example 2: Claro, me duele el oído. = Sure, my ear hurts.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo dolor de muela,"Tooth pain expression. 'Muela' is molar/tooth.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo dolor de muela = I have a toothache
Example 2: Claro, tengo dolor de muela. = Sure, i have a toothache.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Hacer del uno,"Euphemistic way to say urinate. Like English 'number one'. Family-friendly.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Hacer del uno = To pee / Go number one
Example 2: Claro, hacer del uno. = Sure, to pee / go number one.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Hacer del dos,"Euphemistic way to say defecate. Like English 'number two'. Family-friendly.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Hacer del dos = To poop / Go number two
Example 2: Claro, hacer del dos. = Sure, to poop / go number two.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo guayabo,"Colombian slang for hangover. Very common after drinking alcohol.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo guayabo = I have a hangover
Example 2: Claro, tengo guayabo. = Sure, i have a hangover.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me siento fatal,"Strong expression of feeling very unwell. More intense than 'me siento mal'.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me siento fatal = I feel terrible/awful
Example 2: Claro, me siento fatal. = Sure, i feel terrible/awful.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Estoy indispuesto/indispuesta,"Formal, elegant way to say you're sick. More polite than 'enfermo'.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy indispuesto/indispuesta = I'm indisposed/unwell (formal)
Example 2: Claro, estoy indispuesto/indispuesta. = Sure, i'm indisposed/unwell (formal).

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¿Qué te pasó?,"Common way to ask what's wrong with someone who looks unwell.

Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Qué te pasó? = What happened to you? / What's wrong?
Example 2: ¿Qué te pasó? Es importante saberlo. = What happened to you? / What's wrong? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
¿Cómo te sientes?,"Standard way to ask about someone's wellbeing or health condition.

Cultural Context: Common question in Colombian Spanish conversations.

Example 1: ¿Cómo te sientes? = How do you feel?
Example 2: ¿Cómo te sientes? Es importante saberlo. = How do you feel? It's important to know.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions."
Voy a vomitar,"Direct expression for needing to vomit. Also 'voy a devolver' in some regions.

Cultural Context: 'Voy a' + infinitive expresses immediate future or intention, very common in Colombian daily life.

Example 1: Voy a vomitar = I'm going to vomit/throw up
Example 2: Voy a vomitar ¿Vienes conmigo? = I'm going to vomit/throw up Are you coming with me?
Example 3: Ahorita no puedo, voy a vomitar. = I can't right now, i'm going to vomit/throw up.

Formality: Informal to Neutral
Usage Notes: Used to announce plans or departures in Colombian households and workplaces."
Tengo escalofríos,"Symptom of fever or illness. 'Escalofríos' means chills/shivers.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo escalofríos = I have chills
Example 2: Claro, tengo escalofríos. = Sure, i have chills.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me salió un moretón,"'Moretón' is bruise. Common injury vocabulary.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me salió un moretón = I got a bruise
Example 2: Claro, me salió un moretón. = Sure, i got a bruise.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me corté,"Simple past tense of 'cortarse'. Common injury expression.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me corté = I cut myself
Example 2: Claro, me corté. = Sure, i cut myself.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Necesito una curita,"'Curita' is band-aid in many Latin American countries. Diminutive of 'cura' (cure).

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Necesito una curita = I need a band-aid
Example 2: Claro, necesito una curita. = Sure, i need a band-aid.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Tengo alergia,"Allergy expression. Important for medical situations.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Tengo alergia = I have an allergy
Example 2: Claro, tengo alergia. = Sure, i have an allergy.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Estoy embarazada,"Important health/medical state. 'Embarazada' is pregnant (false friend for English speakers).

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Estoy embarazada = I'm pregnant
Example 2: Claro, estoy embarazada. = Sure, i'm pregnant.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
Me picó un mosquito,"Common complaint. 'Picar' means to sting/bite for insects.

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: Me picó un mosquito = A mosquito bit me
Example 2: Claro, me picó un mosquito. = Sure, a mosquito bit me.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
¡Uy,"I don't feel like working! / What a drag to work!

Cultural Context: Common expression in Colombian Spanish used in everyday conversations.

Example 1: ¡Uy =  qué pereza trabajar!
Example 2: Claro, ¡uy. = Sure,  qué pereza trabajar!.

Formality: Neutral
Usage Notes: Used in everyday Colombian interactions and conversations."
